iter	RMSE
1204	0.5941365244
1205	0.5940575684
1206	0.5939410603
1207	0.5938758639
1208	0.5938200891
1209	0.5937128278
1210	0.5936165146
1211	0.593505103
1212	0.5934760333
1213	0.5933943836
1214	0.5933205135
1215	0.5932221612
1216	0.5931053244
1217	0.5930309517
1218	0.5929722428
1219	0.5928643065
1220	0.5927763673
1221	0.5927250474
1222	0.5926242618
1223	0.5925410115
1224	0.5924579143
1225	0.5923371348
1226	0.592282754
1227	0.5922270215
1228	0.5921547374
1229	0.5920872002
1230	0.5920095654
1231	0.5919248813
1232	0.5919198494
1233	0.5918352349
1234	0.5917675512
1235	0.5916658047
1236	0.5915369118
1237	0.5914396938
1238	0.591308522
1239	0.5911695572
1240	0.5910951612
1241	0.5910275028
1242	0.5909442479
1243	0.5908855246
1244	0.590783819
1245	0.5907106695
1246	0.5906200672
1247	0.5905157802
1248	0.5904492684
1249	0.5903874081
1250	0.5902897803
1251	0.5901940116
1252	0.5900912767
1253	0.5899667297
1254	0.5898908577
1255	0.5897988049
1256	0.5897095805
1257	0.5896277957
1258	0.5895570702
1259	0.5894932941
1260	0.5893823181
1261	0.5893114527
1262	0.5892375679
1263	0.5891812436
1264	0.5891264057
1265	0.5890629145
1266	0.5889877826
1267	0.5888921339
1268	0.588787762
1269	0.5886958961
1270	0.5885915171
1271	0.5884831092
1272	0.5883327155
1273	0.588329534
1274	0.588234221
1275	0.5881345199
1276	0.5880513813
1277	0.5879523137
1278	0.5879511787
1279	0.5878873114
1280	0.5877836749
1281	0.5877268788
1282	0.5876413283
1283	0.5875770395
1284	0.5875213593
1285	0.587409429
1286	0.5873366074
1287	0.5872774401
1288	0.5871505776
1289	0.5870662739
1290	0.5869714766
1291	0.5868929987
1292	0.586815592
1293	0.5867486607
1294	0.5866387193
1295	0.586566246
1296	0.5864876306
1297	0.5863859118
1298	0.5863225402
1299	0.5862402829
1300	0.586175063
1301	0.5861058092
1302	0.5860012188
1303	0.5858785526
1304	0.5857629184
1305	0.5857137351
1306	0.5856597953
1307	0.585566855
1308	0.5854607505
1309	0.5853386106
1310	0.5852150268
1311	0.5851799547
1312	0.5851088029
1313	0.5850663524
1314	0.5849658054
1315	0.5849079566
1316	0.5848192385
1317	0.5847349604
1318	0.5846542615
1319	0.5845621915
1320	0.5844636185
1321	0.584407586
1322	0.5842997111
1323	0.5842064987
1324	0.5841212963
1325	0.5840086028
1326	0.5839530841
1327	0.5838507285
1328	0.5837823142
1329	0.583736031
1330	0.5836874855
1331	0.5835920557
1332	0.5835005434
1333	0.5834123644
1334	0.583346354
1335	0.5832569797
1336	0.5831511248
1337	0.5830753708
1338	0.582962866
1339	0.5828835971
1340	0.582826547
1341	0.5827332386
1342	0.5826744139
1343	0.5826150246
1344	0.5825535897
1345	0.5824404252
1346	0.5823610852
1347	0.5823362386
1348	0.5822417335
1349	0.5821483873
1350	0.5820471684
1351	0.5819525045
1352	0.5818671119
1353	0.5817916663
1354	0.5816863561
1355	0.5816300561
1356	0.5815544957
1357	0.5814753987
1358	0.5813861008
1359	0.5813149885
1360	0.5812568884
1361	0.5811932936
1362	0.5810691923
1363	0.5810024675
1364	0.580901105
1365	0.5808221151
1366	0.5807772215
1367	0.5806531714
1368	0.5805853895
1369	0.5805273846
1370	0.5804218731
1371	0.5802755889
1372	0.5801852086
1373	0.5800799716
1374	0.5799801317
1375	0.5799140393
1376	0.5797894677
1377	0.5797224551
1378	0.5796417322
1379	0.5795495119
1380	0.5794740173
1381	0.5793895517
1382	0.5793178853
1383	0.5792359259
1384	0.5791597159
1385	0.5790383551
1386	0.5789368174
1387	0.5788345027
1388	0.5787795
1389	0.5786910236
1390	0.5786889423
1391	0.5786090035
1392	0.5784977965
1393	0.5784347988
1394	0.5783401627
1395	0.5782367009
1396	0.5781739844
1397	0.5781479725
1398	0.5780786299
1399	0.5780095324
1400	0.5779108838
1401	0.5778677356
1402	0.5778057959
1403	0.5777320737
1404	0.5776144705
1405	0.5775338757
1406	0.5774540307
1407	0.577374823
1408	0.5772696939
1409	0.5772187999
1410	0.5771123451
1411	0.5770582219
1412	0.5769731205
1413	0.5769714279
1414	0.5768919847
1415	0.5768084954
1416	0.5767429144
1417	0.5766786243
1418	0.5765672425
1419	0.5764643096
1420	0.5763755908
1421	0.5762823111
1422	0.5761998916
1423	0.5761425469
1424	0.5760680468
1425	0.5759438867
1426	0.5758388356
1427	0.5757691301
1428	0.5757655683
1429	0.5756715677
1430	0.5755746675
1431	0.5754552942
1432	0.5753097841
1433	0.575213785
1434	0.5751382873
1435	0.5750900065
1436	0.5750339664
1437	0.5749580204
1438	0.5748634915
1439	0.5747848896
1440	0.5747510217
1441	0.5746569686
1442	0.5746117632
1443	0.5745412856
1444	0.574470516
1445	0.5743640335
1446	0.5743146674
1447	0.5742446352
1448	0.5741700305
1449	0.5740816659
1450	0.5740015958
1451	0.5739306746
1452	0.5738166605
1453	0.5736828778
1454	0.573572702
1455	0.5735038563
1456	0.573391574
1457	0.5733284694
1458	0.5732145627
1459	0.5731388868
1460	0.573044427
1461	0.5729721091
1462	0.5728606317
1463	0.5727861025
1464	0.5727205725
1465	0.5726348834
1466	0.5725508017
1467	0.5724430523
1468	0.5723553026
1469	0.5722439327
1470	0.5721528526
1471	0.5720561815
1472	0.5719156406
1473	0.5718395367
1474	0.5717787943
1475	0.5716838251
1476	0.5715380383
1477	0.5715023832
1478	0.5714168247
1479	0.5713121661
1480	0.57121162
1481	0.5711425466
1482	0.5710388354
1483	0.5709619875
1484	0.5708943664
1485	0.5708394826
1486	0.5707341193
1487	0.5706632198
1488	0.5705723152
1489	0.5704896414
1490	0.5703993941
1491	0.5702998857
1492	0.5702005598
1493	0.5701486922
1494	0.5700915953
1495	0.5699749572
1496	0.5699113601
1497	0.5698511833
1498	0.5697298108
1499	0.5696337571
1500	0.5695207118
1501	0.5694506902
1502	0.5693673675
1503	0.5693000431
1504	0.5692276497
1505	0.5691410343
1506	0.5690507447
1507	0.5689932802
1508	0.568871181
1509	0.5688181049
