iter	Passed	Remaining
1374	9685	4402
1375	9691	4394
1376	9697	4387
1377	9702	4379
1378	9708	4371
1379	9714	4364
1380	9720	4356
1381	9726	4349
1382	9732	4341
1383	9737	4334
1384	9743	4326
1385	9749	4318
1386	9754	4311
1387	9760	4303
1388	9765	4295
1389	9770	4287
1390	9776	4280
1391	9781	4272
1392	9787	4264
1393	9792	4257
1394	9798	4249
1395	9803	4241
1396	9809	4234
1397	9814	4226
1398	9819	4218
1399	9825	4210
1400	9830	4203
1401	9836	4195
1402	9841	4187
1403	9847	4180
1404	9852	4172
1405	9858	4164
1406	9866	4158
1407	9871	4150
1408	9877	4143
1409	9882	4135
1410	9888	4127
1411	9893	4119
1412	9899	4112
1413	9904	4104
1414	9910	4097
1415	9915	4089
1416	9921	4081
1417	9926	4074
1418	9932	4066
1419	9937	4059
1420	9943	4051
1421	9948	4043
1422	9954	4036
1423	9960	4028
1424	9965	4021
1425	9971	4013
1426	9977	4006
1427	9982	3998
1428	9988	3991
1429	9993	3983
1430	9999	3976
1431	10005	3968
1432	10010	3961
1433	10016	3953
1434	10022	3946
1435	10027	3938
1436	10032	3930
1437	10038	3923
1438	10044	3915
1439	10049	3908
1440	10054	3900
1441	10060	3893
1442	10065	3885
1443	10071	3877
1444	10076	3870
1445	10082	3862
1446	10097	3859
1447	10109	3853
1448	10120	3848
1449	10129	3842
1450	10135	3834
1451	10140	3827
1452	10146	3819
1453	10151	3812
1454	10157	3804
1455	10162	3797
1456	10168	3789
1457	10173	3781
1458	10179	3774
1459	10184	3766
1460	10190	3759
1461	10195	3752
1462	10201	3744
1463	10207	3737
1464	10212	3729
1465	10218	3722
1466	10223	3714
1467	10229	3707
1468	10234	3699
1469	10240	3692
1470	10245	3684
1471	10251	3677
1472	10257	3669
1473	10263	3662
1474	10269	3655
1475	10274	3647
1476	10280	3640
1477	10285	3632
1478	10291	3625
1479	10297	3617
1480	10302	3610
1481	10308	3603
1482	10313	3595
1483	10319	3588
1484	10324	3580
1485	10330	3573
1486	10335	3565
1487	10341	3558
1488	10346	3550
1489	10352	3543
1490	10358	3536
1491	10363	3528
1492	10369	3521
1493	10375	3513
1494	10380	3506
1495	10386	3499
1496	10391	3491
1497	10397	3484
1498	10409	3479
1499	10416	3472
1500	10421	3464
1501	10427	3457
1502	10432	3449
1503	10438	3442
1504	10443	3435
1505	10449	3427
1506	10454	3420
1507	10463	3413
1508	10469	3406
1509	10474	3398
1510	10479	3391
1511	10485	3384
1512	10490	3376
1513	10496	3369
1514	10502	3362
1515	10507	3354
1516	10513	3347
1517	10518	3339
1518	10523	3332
1519	10529	3325
1520	10535	3317
1521	10541	3310
1522	10547	3303
1523	10553	3296
1524	10558	3288
1525	10564	3281
1526	10570	3274
1527	10575	3266
1528	10581	3259
1529	10587	3252
1530	10593	3245
1531	10598	3237
1532	10604	3230
1533	10610	3223
1534	10618	3216
1535	10624	3209
1536	10630	3202
1537	10635	3194
1538	10641	3187
1539	10647	3180
1540	10653	3173
1541	10658	3165
1542	10664	3158
1543	10669	3151
1544	10675	3143
1545	10680	3136
1546	10686	3129
1547	10691	3121
1548	10697	3114
1549	10703	3107
1550	10709	3100
1551	10716	3093
1552	10722	3086
1553	10728	3079
1554	10733	3071
1555	10739	3064
1556	10744	3057
1557	10750	3049
1558	10756	3042
1559	10761	3035
1560	10766	3027
1561	10772	3020
1562	10778	3013
1563	10783	3006
1564	10788	2998
1565	10794	2991
1566	10799	2984
1567	10804	2976
1568	10809	2969
1569	10815	2962
1570	10821	2954
1571	10826	2947
1572	10831	2940
1573	10837	2933
1574	10842	2925
1575	10848	2918
1576	10854	2911
1577	10861	2904
1578	10866	2897
1579	10872	2890
1580	10877	2882
1581	10882	2875
1582	10888	2868
1583	10894	2861
1584	10899	2853
1585	10905	2846
1586	10910	2839
1587	10916	2832
1588	10921	2824
1589	10927	2817
1590	10932	2810
1591	10937	2803
1592	10942	2795
1593	10948	2788
1594	10953	2781
1595	10959	2774
1596	10964	2766
1597	10969	2759
1598	10975	2752
1599	10980	2745
1600	10986	2738
1601	10991	2730
1602	10997	2723
1603	11002	2716
1604	11008	2709
1605	11013	2702
1606	11019	2694
1607	11024	2687
1608	11033	2681
1609	11039	2674
1610	11044	2666
1611	11050	2659
1612	11056	2652
1613	11062	2645
1614	11067	2638
1615	11073	2631
1616	11079	2624
1617	11084	2617
1618	11090	2609
1619	11095	2602
1620	11101	2595
1621	11107	2588
1622	11112	2581
1623	11121	2574
1624	11143	2571
1625	11156	2566
1626	11161	2558
1627	11167	2551
1628	11172	2544
1629	11178	2537
1630	11184	2530
1631	11189	2523
1632	11195	2515
1633	11200	2508
1634	11205	2501
1635	11211	2494
1636	11216	2487
1637	11221	2479
1638	11227	2472
1639	11232	2465
1640	11238	2458
1641	11243	2451
1642	11248	2444
1643	11254	2437
1644	11260	2430
1645	11266	2422
1646	11271	2415
1647	11277	2408
1648	11283	2401
1649	11289	2394
1650	11294	2387
1651	11300	2380
1652	11305	2373
1653	11310	2366
1654	11316	2359
1655	11321	2351
1656	11327	2344
1657	11333	2337
1658	11338	2330
1659	11343	2323
1660	11349	2316
1661	11354	2309
1662	11360	2302
1663	11365	2295
1664	11371	2287
1665	11376	2280
1666	11382	2273
1667	11387	2266
1668	11393	2259
1669	11399	2252
1670	11404	2245
1671	11410	2238
1672	11415	2231
1673	11421	2224
1674	11426	2217
1675	11432	2210
1676	11437	2203
